User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
How many orders were not shipped at all?,SELECT COUNT(*) FROM orders WHERE ShippedDate IS NULL,"```sql
SELECT COUNT(OrderID) AS NotShippedOrders
FROM orders
WHERE ShippedDate IS NULL;
```","Both queries count the number of orders where 'ShippedDate' is NULL, thus they return the same result.",SELECT COUNT(OrderID) FROM orders WHERE ShippedDate IS NULL;,"Both queries count the number of orders with a NULL ShippedDate, effectively answering the same question.",both
Identify orders that were shipped late and the shipping method used.,"SELECT OrderID, ShipVia FROM orders WHERE ShippedDate > RequiredDate;","```sql
SELECT OrderID, ShipVia
FROM orders
WHERE ShippedDate > RequiredDate;
```","The generated SQL query accurately answers the user's question by selecting orders where the ShippedDate is later than the RequiredDate, and includes the OrderID and ShipVia, which identifies the shipping method used.","SELECT OrderID, FreightCarrier FROM orders WHERE ShippedDate > RequiredDate;","The generated query uses 'FreightCarrier' instead of 'ShipVia', which likely refers to the shipping method in the ground truth query.",Base
Which product category generates the most revenue?,"SELECT od.ProductID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS Revenue FROM [Order Details] od GROUP BY od.ProductID ORDER BY Revenue DESC LIMIT 1;","```sql
SELECT p.CategoryID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue
FROM [Order Details] od
JOIN products p ON od.ProductID = p.ProductID
GROUP BY p.CategoryID
ORDER BY TotalRevenue DESC
LIMIT 1;
```","The generated query groups by CategoryID to find the category with the most revenue, which answers the user's question. The ground truth query groups by ProductID and does not answer the question about categories.","SELECT CategoryID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalRevenue FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY CategoryID ORDER BY TotalRevenue DESC LIMIT 1;","The generated query groups by CategoryID, targeting category revenue, while the ground truth query groups by ProductID, targeting product revenue.",None
Which suppliers have delivered discontinued products?,SELECT DISTINCT suppliers.CompanyName FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID WHERE products.Discontinued = 1;,"```sql
SELECT DISTINCT s.CompanyName, s.ContactName, s.Address, s.City, s.Region, s.PostalCode, s.Country, s.Phone
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
WHERE p.Discontinued = 1;
```","The generated query does not ensure products were delivered, as it lacks a JOIN with 'Order Details' to verify delivery.",SELECT DISTINCT s.CompanyName FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID WHERE p.Discontinued = 1;,"The generated query checks for suppliers of discontinued products but doesn't verify if they were actually delivered, as it misses the join with [Order Details].",None
What is the revenue generated from each product?,"SELECT p.ProductID, p.ProductName, SUM(od.Quantity * od.UnitPrice) AS Revenue FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID, p.ProductName;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity * od.UnitPrice) AS Revenue
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName;
```","The generated SQL query and the ground truth SQL query are identical in structure and logic, both correctly calculating the revenue for each product by grouping on ProductID and ProductName and summing the product of Quantity and UnitPrice from the Order Details.","SELECT products.ProductName, SUM([Order Details].Quantity * [Order Details].UnitPrice * (1 - [Order Details].Discount)) AS TotalRevenue FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.ProductName;","The generated SQL query includes the Discount in calculating the TotalRevenue, which the ground truth query does not consider. This leads to different results.",Base
How many products are currently being discontinued?,SELECT COUNT(*) FROM products WHERE Discontinued = 1,"```sql
SELECT COUNT(*) AS DiscontinuedProducts
FROM products
WHERE Discontinued = 1;
```",Both queries count products that are currently being discontinued by using the same condition 'WHERE Discontinued = 1'.,SELECT COUNT(*) FROM products WHERE Discontinued = 1;,"The generated SQL query accurately answers the user's question and yields the same results as the ground truth query. Both queries count the number of products where Discontinued equals 1, which is the correct interpretation of the question.",both
What is the average shipping cost per order for each shipper?,"SELECT shippers.CompanyName, AVG(orders.Freight) AS avg_shipping_cost FROM orders JOIN shippers ON orders.ShipVia = shippers.ShipperID GROUP BY shippers.CompanyName","```sql
SELECT shippers.ShipperID, AVG(orders.Freight) AS average_shipping_cost
FROM orders
JOIN shippers ON orders.ShipVia = shippers.ShipperID
GROUP BY shippers.ShipperID
```","The generated query groups results by ShipperID, while the ground truth groups by CompanyName. This could yield different results if different shippers have the same CompanyName.","SELECT shippers.CompanyName, AVG(orders.Freight) AS avg_shipping_cost FROM orders JOIN shippers ON orders.ShipVia = shippers.ShipperID GROUP BY shippers.CompanyName",Both queries are identical and will yield the same results.,FT
Which category has the longest list of discontinued products?,"SELECT c.CategoryID, COUNT(p.ProductID) AS DiscontinuedCount FROM products p JOIN categories c ON p.CategoryID = c.CategoryID WHERE p.Discontinued = 1 GROUP BY c.CategoryID ORDER BY DiscontinuedCount DESC LIMIT 1;","```sql
SELECT p.CategoryID, COUNT(*) AS DiscontinuedCount
FROM products p
WHERE p.Discontinued = 1
GROUP BY p.CategoryID
ORDER BY DiscontinuedCount DESC
LIMIT 1;
```",Both queries correctly count the number of discontinued products per category and return the category with the highest count. The join with the categories table in the ground truth query doesn't affect the outcome since CategoryID alone is sufficient for grouping.,"SELECT products.CategoryID, COUNT(*) FROM products WHERE products.Discontinued = 1 GROUP BY products.CategoryID ORDER BY COUNT(*) DESC LIMIT 1;","Both queries aim to find the category with the most discontinued products. They count discontinued products per category and return the category with the highest count. The generated query directly uses the products table, assuming CategoryID is present, while the ground truth query includes an explicit join with the categories table, but this does not affect the result. Hence, both queries effectively return the same result.",both
What is the average unit price of all products?,SELECT AVG(UnitPrice) FROM products,"```sql
SELECT AVG(UnitPrice) AS AverageUnitPrice FROM products;
```","The generated query calculates the average unit price of all products, matching the intent of the ground truth query. Both queries yield the same result.",SELECT AVG(UnitPrice) FROM products;,Both queries calculate the average of the UnitPrice from the products table and will produce the same result.,both
Which customers have placed orders with the highest discounts?,"SELECT o.CustomerID, MAX(od.Discount) AS MaxDiscount FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY o.CustomerID ORDER BY MaxDiscount DESC;","```sql
SELECT orders.CustomerID, SUM([Order Details].Discount) AS TotalDiscount
FROM orders
JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID
GROUP BY orders.CustomerID
ORDER BY TotalDiscount DESC;
```","The generated query calculates total discounts per customer, while the ground truth query finds the maximum discount per customer.","SELECT c.CustomerID, od.OrderID, od.UnitPrice, od.Quantity, od.Discount FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE od.Discount = (SELECT MAX(Discount) FROM [Order Details]) ORDER BY od.Discount DESC;","The generated query returns all details for customers with an order at the maximum discount level, but not all customers who have placed orders. The ground truth query returns customers with their respective maximum discount, ordered by discount value.",None
Which products have sales exceeding $5000?,SELECT ProductName FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY ProductName HAVING SUM([Order Details].Quantity * [Order Details].UnitPrice) > 5000;,"```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity * od.UnitPrice) AS TotalSales
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
HAVING TotalSales > 5000;
```","The ground truth query returns only the ProductName, while the generated query returns ProductID and TotalSales as well.",SELECT p.ProductName FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID HAVING SUM(od.Quantity * od.UnitPrice * (1 - od.Discount)) > 5000;,"The generated query includes a discount in the sales calculation, while the ground truth query does not consider any discounts.",None
Calculate the total discount given on products sold in the last month.,"SELECT SUM([Order Details].Quantity * [Order Details].UnitPrice * [Order Details].Discount) AS TotalDiscount FROM [Order Details] WHERE OrderID IN (SELECT OrderID FROM orders WHERE OrderDate BETWEEN DATE_SUB(CURDATE(), INTERVAL 1 MONTH) AND CURDATE());","```sql
SELECT SUM([Order Details].Discount) AS TotalDiscount
FROM [Order Details]
WHERE OrderID IN (
    SELECT OrderID
    FROM Orders
    WHERE OrderDate >= DATEADD(MONTH, -1, GETDATE())
);
```","The generated query calculates the sum of discounts per order without considering the extended price of each product. The ground truth query calculates the total discount value by multiplying the quantity, unit price, and discount rate, which yields a different result.","SELECT SUM(d.UnitPrice * d.Quantity * d.Discount) AS TotalDiscount FROM orders o JOIN [Order Details] d ON o.OrderID = d.OrderID WHERE o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 MONTH);","The generated query uses an incorrect date range condition. It only filters by dates greater than or equal to one month ago, missing orders placed exactly one month ago. The ground truth query correctly includes orders between one month ago and today.",None
Which company name appears most frequently in the customer database?,"SELECT CompanyName, COUNT(*) AS Frequency FROM customers GROUP BY CompanyName ORDER BY Frequency DESC LIMIT 1;","```sql
SELECT CompanyName, COUNT(*) as Frequency
FROM customers
GROUP BY CompanyName
ORDER BY Frequency DESC
LIMIT 1;
```",Both queries are functionally equivalent; they count occurrences of company names and return the one with the highest frequency.,"SELECT CompanyName, COUNT(*) AS NameCount FROM customers GROUP BY CompanyName ORDER BY NameCount DESC LIMIT 1;","Both queries group by CompanyName, count the occurrences, order by the count in descending order, and limit the results to 1, achieving the same outcome.",both
What are the top 5 cities by number of shipments?,"SELECT ShipCity, COUNT(OrderID) AS Shipments FROM orders GROUP BY ShipCity ORDER BY Shipments DESC LIMIT 5","```sql
SELECT ShipCity, COUNT(OrderID) AS NumberOfShipments
FROM orders
GROUP BY ShipCity
ORDER BY NumberOfShipments DESC
LIMIT 5;
```",Both queries count the number of shipments per city and return the top 5 cities by shipment count. The difference in alias names does not affect the result.,"SELECT ShipCity, COUNT(OrderID) AS Shipments FROM orders GROUP BY ShipCity ORDER BY Shipments DESC LIMIT 5;",Both queries are functionally identical and answer the question by selecting the top 5 cities based on number of shipments.,both
What is the stock-to-sale ratio for each product?,"SELECT ProductName, UnitsInStock * 1.0 / SUM([Order Details].Quantity) AS StockToSaleRatio FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY ProductName;","```sql
SELECT 
    p.ProductID,
    p.ProductName,
    (p.UnitsInStock / NULLIF(SUM(od.Quantity), 0)) AS StockToSaleRatio
FROM 
    products p
LEFT JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
GROUP BY 
    p.ProductID, p.ProductName;
```","Both queries calculate the stock-to-sale ratio for each product by dividing UnitsInStock by the sum of ordered quantities, although they handle division by zero and product ID inclusion slightly differently.","SELECT p.ProductName, CAST(p.UnitsInStock AS DECIMAL) / NULLIF(SUM(od.Quantity), 0) AS StockToSaleRatio FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductName, p.UnitsInStock;","The generated query includes 'p.UnitsInStock' in the GROUP BY clause, which might affect result aggregation, and it uses NULLIF to handle division by zero errors, unlike the ground truth query. These differences can lead to different results.",Base
Identify products with the highest discount offered historically.,"SELECT ProductID, MAX(Discount) AS MaxDiscount FROM [Order Details] GROUP BY ProductID ORDER BY MaxDiscount DESC LIMIT 1;","```sql
SELECT p.ProductID, p.ProductName, MAX(od.Discount) AS HighestDiscount
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY HighestDiscount DESC;
```","The generated query returns all products with their highest discounts, ordered by discount, but does not limit the results to those with the absolute highest discount overall. The ground truth query identifies only the product with the highest single discount.","SELECT p.ProductID, p.ProductName, MAX(od.Discount) AS MaxDiscount FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID, p.ProductName ORDER BY MaxDiscount DESC LIMIT 5;","The generated query retrieves the top 5 products with the highest discount along with their names, whereas the ground truth query retrieves only the product with the highest discount, without product names, and limits the result to 1.",None
Evaluate the impact of hiring date on the sales performance.,"SELECT employees.EmployeeID, YEAR(employees.HireDate) AS HireYear, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS TotalSales FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID GROUP BY employees.EmployeeID, YEAR(employees.HireDate)","```sql
SELECT 
    e.HireDate,
    SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM 
    employees e
JOIN 
    orders o ON e.EmployeeID = o.EmployeeID
JOIN 
    [Order Details] od ON o.OrderID = od.OrderID
GROUP BY 
    e.HireDate
ORDER BY 
    e.HireDate;
```","The generated query groups by HireDate, resulting in the same date for each employee's sales totals, while the ground truth groups by EmployeeID and HireYear, allowing for performance analysis per employee and year.","SELECT e.EmployeeID, YEAR(e.HireDate) AS HireYear, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS EmployeeSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID, YEAR(e.HireDate);","Both queries calculate total sales per employee per hiring year and group by employee and hire year. Despite different naming conventions, they produce the same results.",FT
Determine the average unit price of products supplied by each supplier.,"SELECT s.SupplierID, AVG(p.UnitPrice) AS AvgUnitPrice FROM suppliers s JOIN products p ON s.SupplierID = p.SupplierID GROUP BY s.SupplierID;","```sql
SELECT suppliers.SupplierID, AVG(products.UnitPrice) AS AverageUnitPrice
FROM suppliers
JOIN products ON suppliers.SupplierID = products.SupplierID
GROUP BY suppliers.SupplierID;
```","Both queries calculate the average unit price of products for each supplier by joining the suppliers and products tables and grouping by SupplierID. The differences are only in the aliasing and naming, which do not affect the result.","SELECT suppliers.CompanyName, AVG(products.UnitPrice) AS AvgUnitPrice FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID GROUP BY suppliers.CompanyName;","The generated query groups by CompanyName, while the ground truth query groups by SupplierID. This can result in different groupings if CompanyName is not unique per SupplierID.",Base
Identify the top 5 suppliers by total sales revenue generated.,"SELECT suppliers.SupplierID, CompanyName, SUM([Order Details].UnitPrice * Quantity * (1 - Discount)) AS TotalSales FROM suppliers JOIN products ON suppliers.SupplierID = products.SupplierID JOIN [Order Details] ON products.ProductID = [Order Details].ProductID JOIN orders ON [Order Details].OrderID = orders.OrderID GROUP BY suppliers.SupplierID, CompanyName ORDER BY TotalSales DESC LIMIT 5;","```sql
SELECT s.SupplierID, s.CompanyName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
JOIN [Order Details] od ON p.ProductID = od.ProductID
JOIN orders o ON od.OrderID = o.OrderID
GROUP BY s.SupplierID, s.CompanyName
ORDER BY TotalSales DESC
LIMIT 5;
```","The generated SQL query is functionally equivalent to the ground truth query. Both queries join the same tables and compute the total sales revenue in the same manner, with the same grouping and ordering logic to find the top 5 suppliers.","SELECT suppliers.CompanyName, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID JOIN suppliers ON products.SupplierID = suppliers.SupplierID GROUP BY suppliers.CompanyName ORDER BY total_sales DESC LIMIT 5","Both queries aim to find the top 5 suppliers by total sales revenue. They aggregate sales using the same formula and group by supplier name, ordering by total sales. The inclusion of the 'orders' table in the ground truth does not change the aggregation results in this context.",both
How many orders were shipped via each shipping company?,"SELECT shippers.CompanyName, COUNT(orders.OrderID) AS order_count FROM orders JOIN shippers ON orders.ShipVia = shippers.ShipperID GROUP BY shippers.CompanyName","```sql
SELECT orders.ShipVia, COUNT(orders.OrderID) AS number_of_orders
FROM orders
GROUP BY orders.ShipVia
```","The generated query groups counts by the 'ShipVia' ID from 'orders', while the ground truth query groups by the 'CompanyName' from 'shippers'. The generated query does not join the 'shippers' table, so it misses mapping 'ShipVia' to company names.","SELECT ShipVia, COUNT(OrderID) AS NumberOfOrders FROM orders GROUP BY ShipVia;","The generated query only counts orders by 'ShipVia' ID, not by shipping company names. The ground truth query joins the 'orders' table with 'shippers' to count orders by company name.",None
Identify the top 5 products with the highest sales performance based on quantity sold.,"SELECT p.ProductID, SUM(od.Quantity) AS TotalQuantitySold FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID ORDER BY TotalQuantitySold DESC LIMIT 5;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalQuantitySold
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY TotalQuantitySold DESC
LIMIT 5;
```",Both queries accurately identify the top 5 products with the highest sales based on quantity sold. They both sum the quantity from the 'Order Details' table and order by the total quantity in descending order. The inclusion of ProductName in the SELECT statement does not affect the result for the top 5 products by quantity sold.,"SELECT p.ProductName, SUM(od.Quantity) AS TotalSold FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductName ORDER BY TotalSold DESC LIMIT 5;",The generated query selects 'ProductName' while the ground truth selects 'ProductID'. Both should select the same column to ensure identical results.,Base
Determine the most common discount rates used.,"SELECT Discount, COUNT(*) AS Count FROM [Order Details] GROUP BY Discount ORDER BY Count DESC;","```sql
SELECT Discount, COUNT(*) AS DiscountCount
FROM [Order Details]
GROUP BY Discount
ORDER BY DiscountCount DESC;
```","Both queries calculate the count of each discount rate from the Order Details table and order the results by the count in descending order, effectively answering the user's question.","SELECT discount, COUNT(*) as frequency FROM [Order Details] GROUP BY discount ORDER BY frequency DESC;","Both queries select the discount and count the occurrences, grouping by discount, and ordering by the count in descending order. Case sensitivity in SQL keywords and aliases has no impact on functionality, so they yield the same results.",both
Which shipping company has the highest average delay in delivery?,"SELECT ShipVia, AVG(DATEDIFF(ShippedDate, RequiredDate)) AS AverageDelay FROM orders WHERE ShippedDate > RequiredDate GROUP BY ShipVia ORDER BY AverageDelay DESC LIMIT 1;","```sql
SELECT ShipVia, AVG(DATEDIFF(ShippedDate, RequiredDate)) AS AverageDelay
FROM orders
WHERE ShippedDate IS NOT NULL
GROUP BY ShipVia
ORDER BY AverageDelay DESC
LIMIT 1;
```","The generated query considers all shipped orders, while the ground truth query only considers orders with a shipped date later than the required date.","SELECT ShipVia, AVG(DATEDIFF(ShippedDate, RequiredDate)) AS AverageDelay FROM orders WHERE ShippedDate > RequiredDate GROUP BY ShipVia ORDER BY AverageDelay DESC LIMIT 1;",The generated SQL query is identical to the ground truth query and correctly answers the user's question by finding the shipping company with the highest average delay.,FT
