Question,Ground Truth Query,Generated Query by FT,Explanation by FT,Generated Query by Base Model,Explanation by Base Model,Model that got it right,Model that got it wrong
What is the average Inventory Turnover Ratio for each month?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock) AS InventoryTurnoverRatio FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID JOIN orders o ON od.OrderID = o.OrderID GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');","SELECT DATE_TRUNC('month', o.OrderDate) AS Month, (SUM(od.Quantity * od.UnitPrice) / AVG(p.UnitsInStock)) AS AvgInventoryTurnover FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID JOIN orders o ON o.OrderID = od.OrderID GROUP BY DATE_TRUNC('month', o.OrderDate);","The generated SQL query uses DATE_TRUNC to truncate the date to a month, while the ground truth SQL query uses DATE_FORMAT. Additionally, the generated SQL query groups by DATE_TRUNC, whereas ground truth groups by DATE_FORMAT. Also, the generated SQL query uses AVGInventoryTurnover as the alias for the calculated field, while the ground truth query uses InventoryTurnoverRatio.","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    SUM([Order Details].Quantity * [Order Details].UnitPrice) / AVG(products.UnitsInStock) AS Average_Inventory_Turnover_Ratio
FROM 
    [Order Details]
JOIN 
    products ON [Order Details].ProductID = products.ProductID
GROUP BY 
    Month
```","The generated SQL query is missing a JOIN on the 'orders' table to properly obtain the 'OrderDate' field. Without this join, 'OrderDate' in the SELECT clause is ambiguous and will result in an error or incorrect data retrieval.",Both,None
What percentage of orders were shipped after the required date each month?,"SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, COUNT(CASE WHEN ShippedDate > RequiredDate THEN 1 END) / COUNT(OrderID) AS LateDeliveryRate FROM orders GROUP BY DATE_FORMAT(OrderDate, '%Y-%m')","SELECT year(o.OrderDate) AS year, month(o.OrderDate) AS month, (COUNT(CASE WHEN o.ShippedDate > o.RequiredDate THEN 1 END) * 100.0 / COUNT(o.OrderID)) AS LateDeliveryRate FROM orders o GROUP BY year(o.OrderDate), month(o.OrderDate)","Both queries correctly calculate the percentage of orders shipped after the required date each month. The generated query uses the year and month functions separately while the ground truth query uses DATE_FORMAT, but the results will be the same.","```sql
SELECT 
    DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month,
    (COUNT(orders.OrderID WHERE orders.ShippedDate > orders.RequiredDate) / COUNT(orders.OrderID)) * 100 AS Percentage_Shipped_After_Required_Date
FROM 
    orders
GROUP BY 
    Month
```",The generated query attempts to use the 'WHERE' clause incorrectly within the 'COUNT' function. It should use a 'CASE WHEN' statement within the 'COUNT' function to count orders shipped after the required date.,FT,Base
Which shipping method was used most frequently?,"SELECT ShipVia, COUNT(OrderID) AS UsageCount FROM orders GROUP BY ShipVia ORDER BY UsageCount DESC LIMIT 1","SELECT ShipVia, COUNT(OrderID) AS ShippingMethodCount FROM orders GROUP BY ShipVia;",The generated SQL query lists the count of orders per shipping method but does not determine which method was used the most frequently. The ground truth query orders the results and limits it to the most frequently used shipping method.,"```sql
SELECT ShipVia, COUNT(*) AS Frequency
FROM orders
GROUP BY ShipVia
ORDER BY Frequency DESC
LIMIT 1;
```","Both the generated SQL query and the ground truth SQL query are functionally equivalent. They both select the shipping method (ShipVia) and the count of orders grouped by ShipVia, then order the results by the count in descending order, and limit the output to the most frequently used shipping method. The difference in column names does not affect the correctness of the answer.",Base,FT
What is the customer retention rate from January 2022 to January 2023?,(SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2023-01-01') / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < '2022-01-01') AS customer_retention_rate,(SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2023-01-01') / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < '2022-01-01') AS customer_retention_rate,"The generated SQL query and the ground truth SQL query are identical. However, they do not correctly calculate the customer retention rate. The correct calculation should be the count of customers who made at least one order before January 2022 and also made at least one order between January 2022 and January 2023, divided by the count of customers who made at least one order before January 2022.","```sql
(SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate BETWEEN '2022-01-01' AND '2023-01-31') / (SELECT COUNT(DISTINCT orders.CustomerID) FROM orders WHERE orders.OrderDate < '2022-01-01') AS customer_retention_rate
```",The generated SQL query incorrectly includes the date '2023-01-31' instead of '2023-01-01' in the date range. This causes the retention rate to be calculated over an extended period compared to the user question and the ground truth query.,Both,None
What is the average order value for the year 2021?,SELECT SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS AverageOrderValue FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID WHERE YEAR(orders.OrderDate) = 2021;,SELECT (SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) / COUNT(DISTINCT o.OrderID)) AS AvgOrderValue FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE YEAR(o.OrderDate) = 2021;,"Both queries are functionally equivalent, using the correct tables and columns, with necessary joins and WHERE condition for the year 2021. They both calculate the average order value for the year 2021 accurately.","```sql
SELECT 
    AVG(SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount))) AS AverageOrderValue
FROM 
    orders 
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE 
    YEAR(orders.OrderDate) = 2021
GROUP BY 
    orders.OrderID;
```","The generated SQL query calculates the average of individual order totals after grouping by OrderID, rather than directly computing the total sales value and dividing by the distinct number of orders to get the average order value. This differs from the ground truth query, which correctly calculates the average order value by summing the orders and dividing by the count of distinct order IDs.",FT,Base
Identify the top 3 products with the most number of orders.,"SELECT p.ProductID, p.ProductName, COUNT(od.OrderID) AS NumberOfOrders FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductID, p.ProductName ORDER BY NumberOfOrders DESC LIMIT 3;","```sql
SELECT p.ProductID, COUNT(od.OrderID) AS OrderCount 
FROM [Order Details] od 
JOIN products p ON od.ProductID = p.ProductID 
GROUP BY p.ProductID 
ORDER BY OrderCount DESC 
LIMIT 3;
```","The generated SQL query correctly identifies the top 3 products with the most number of orders. Although it does not include the ProductName column, which is present in the ground truth query, the user question does not explicitly ask for product names. Hence, the generated query still satisfies the user question by providing the ProductID and the order count.","```sql
SELECT TOP 3 products.ProductID, products.ProductName, SUM([Order Details].Quantity) AS TotalOrders
FROM products
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY products.ProductID, products.ProductName
ORDER BY TotalOrders DESC;
```","The generated SQL query calculates the total quantity of all products ordered (SUM([Order Details].Quantity)) rather than the number of orders placed for each product (COUNT(od.OrderID)). While both can indicate popularity, the user question specifies the number of orders, not the quantity ordered.",FT,Base
What are the average monthly sales generated by each region?,"SELECT territories.RegionID, SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT DATE_TRUNC('month', orders.OrderDate)) AS avg_monthly_sales FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID JOIN employees ON orders.EmployeeID = employees.EmployeeID JOIN employeeTerritories ON employees.EmployeeID = employeeTerritories.EmployeeID JOIN territories ON employeeTerritories.TerritoryID = territories.TerritoryID GROUP BY territories.RegionID","SELECT r.RegionID, (SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) / COUNT(DISTINCT o.OrderID)) AS avg_monthly_sales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID JOIN employeeTerritories et ON o.EmployeeID = et.EmployeeID JOIN territories r ON et.TerritoryID = r.TerritoryID GROUP BY r.RegionID","The generated SQL query does not correctly calculate the average monthly sales. It divides the total sales by the count of distinct OrderIDs rather than the count of distinct months in the order dates. Additionally, it doesn't handle the date truncation to determine the months.","```sql
SELECT region.RegionDescription, 
       AVG(total_sales) AS average_monthly_sales 
FROM (
    SELECT region.RegionDescription, 
           SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS total_sales 
    FROM orders 
    JOIN employees ON orders.EmployeeID = employees.EmployeeID 
    JOIN territories ON employees.EmployeeID = employeeTerritories.EmployeeID 
    JOIN region ON territories.RegionID = region.RegionID 
    JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID 
    GROUP BY region.RegionDescription, YEAR(orders.OrderDate), MONTH(orders.OrderDate)
) AS monthly_sales 
GROUP BY region.RegionDescription;
```","The Generated SQL Query and Ground Truth SQL Query both aim to calculate average monthly sales by region. However, the Generated SQL Query joins incorrect tables or fields. Specifically, in the generated SQL, the join conditions are incorrect (e.g., employees join with territories directly) and also it lacks the distinct month count which is crucial for calculating the true monthly average. On the other hand, Ground Truth SQL correctly handles the table joins and calculates the average monthly sales by considering distinct months.",Both,None
Find the order with the highest discount applied.,"SELECT od.OrderID, MAX(od.Discount) FROM [Order Details] od;","SELECT o.OrderID, od.Discount FROM [Order Details] od JOIN orders o ON o.OrderID = od.OrderID ORDER BY od.Discount DESC LIMIT 1;","The generated query arranges all the orders and picks the first one, whereas the ground truth query directly extracts the maximum discount applied among orders. The ordering method in the generated query could lead to different results if there are ties in the highest discount.","```sql
SELECT OrderID, ProductID, UnitPrice, Quantity, Discount
FROM [Order Details]
ORDER BY Discount DESC
LIMIT 1;
```","The generated SQL query does not correctly correspond to the user question. It attempts to find the order with the highest discount by sorting all records and limiting the result to one row, which can be correct. However, it selects additional fields (ProductID, UnitPrice, Quantity) that are unnecessary. It should focus on the OrderID with the highest discount or apply an aggregate function directly to find the highest discount per order.",Both,None
Calculate the monthly total sales revenue over the last year.,"SELECT MONTH(o.OrderDate) AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE YEAR(o.OrderDate) = YEAR(CURRENT_DATE) GROUP BY MONTH(o.OrderDate) ORDER BY Month;","SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS MonthlyTotalSales FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE OrderDate > DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY Month","The generated SQL query uses DATE_FORMAT to get the month and year combined, GROUPS by this combined format, and uses DATE_SUB to consider the sales in the last 12 months. The generated query may include partial months from over a year ago while the ground truth query considers only the months within the current year utilizing YEAR function, making it a year-to-date calculation.","```sql
SELECT 
    DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month,
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) AS Total_Sales
FROM 
    orders
JOIN 
    [Order Details] ON orders.OrderID = [Order Details].OrderID
WHERE 
    orders.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)
GROUP BY 
    Month
ORDER BY 
    Month;
```","The generated query calculates the monthly total sales revenue for the last 12 months from the current date, whereas the ground truth query calculates the monthly total sales revenue for the current calendar year. The date range filters are different.",Both,None
Who is the highest paid employee and what is their total sales?,"SELECT e.EmployeeID, e.Salary, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID ORDER BY e.Salary DESC LIMIT 1;","SELECT e.EmployeeID, e.FirstName, e.LastName, e.Salary, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID ORDER BY e.Salary DESC LIMIT 1;","The generated SQL query returns the highest paid employee and their total sales. It includes additional columns (FirstName, LastName) which are not in the ground truth query but still answers the user's question correctly and follows the correct schema.","```sql
SELECT e.FirstName, e.LastName, e.Salary, 
       SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
FROM employees e
LEFT JOIN orders o ON e.EmployeeID = o.EmployeeID
LEFT JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY e.EmployeeID
ORDER BY e.Salary DESC
LIMIT 1;
```","The generated query incorrectly groups by e.EmployeeID without including all non-aggregated columns in the SELECT clause (e.FirstName, e.LastName, e.Salary). The absence of FirstName and LastName in the ground truth makes it unclear if they are valid fields. Additionally, if the employees table doesn't contain these fields or if grouping isn't properly handled, this can cause errors or incorrect results. Finally, the generated query utilizes LEFT JOIN which may include employees with no sales, whereas INNER JOIN ensures only employees with sales are considered.",FT,Base
How does the total number of units sold compare between discontinued and active products?,"SELECT products.Discontinued, SUM([Order Details].Quantity) AS TotalUnitsSold FROM [Order Details] JOIN products ON [Order Details].ProductID = products.ProductID GROUP BY products.Discontinued","SELECT p.ProductName, SUM(CASE WHEN p.Discontinued = 1 THEN od.Quantity ELSE 0 END) AS TotalUnitsSoldDiscontinued, SUM(CASE WHEN p.Discontinued = 0 THEN od.Quantity ELSE 0 END) AS TotalUnitsSoldActive FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductName;",The generated SQL query incorrectly groups by ProductName and aggregates units sold separately for each product. The user question requires a comparison of total units sold between discontinued and active products as a whole. The ground truth query correctly groups by the Discontinued status and sums the quantities accordingly.,"```sql
SELECT 
    CASE 
        WHEN p.Discontinued = 1 THEN 'Discontinued' 
        ELSE 'Active' 
    END AS ProductStatus,
    SUM(od.Quantity) AS TotalUnitsSold
FROM 
    products p
LEFT JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
GROUP BY 
    p.Discontinued;
```","Both queries correctly calculate the total number of units sold for discontinued and active products. The generated query uses a CASE statement to label the product status as 'Discontinued' or 'Active', and it uses a LEFT JOIN instead of an INNER JOIN, but these differences do not change the correctness of the result.",Base,FT
