Business Analytic Request,Ground Truth Code,Generated Code by Base Model,Base Model Explanation,Generated Code by Finetuned Model,Finetuned Model Explanation,Model that got it right
What is the average order value for Q1 2023?,"```python
import pandas as pd

# SQL query to retrieve necessary data
sql_query = """"""
SELECT
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / COUNT(DISTINCT orders.OrderID) AS avg_order_value
FROM [Order Details]
JOIN orders ON [Order Details].OrderID = orders.OrderID
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31'
""""""

# Execute the SQL query and get the result as a pandas dataframe
df = execute_sql_query(sql_query)

# Extracting the average order value from the dataframe
avg_order_value = df['avg_order_value'][0]

# Display the average order value to the user
show_to_user(avg_order_value)
```","```python
sql_query = """"""
SELECT 
    SUM([Order Details].UnitPrice * [Order Details].Quantity * (1 - [Order Details].Discount)) / 
    COUNT(DISTINCT orders.OrderID) AS avg_order_value 
FROM 
    [Order Details] 
JOIN 
    orders ON [Order Details].OrderID = orders.OrderID 
WHERE 
    orders.OrderDate BETWEEN '2023-01-01' AND '2023-03-31'
""""""

avg_order_value_df = execute_sql_query(sql_query)
show_to_user(avg_order_value_df)
```","The input code fails to extract the average order value from the 'avg_order_value_df'. Instead, it directly passes the entire dataframe to 'show_to_user'. The reference code correctly accesses the specific value using 'df['avg_order_value'][0]'.","To calculate the average order value (AOV) for Q1 2023, we can use the formula: 

\[ \text{AOV} = \frac{\text{Total Revenue}}{\text{Number of Unique Orders}} \]

For this period, we need to extract total revenue as the sum of the product of `UnitPrice`, `Quantity`, and `(1 - Discount)` for all order details within Q1 2023, and we also need to count the unique orders.

Here is the Python code that performs this analysis:

```python
import pandas as pd

# SQL Query to calculate Total Revenue and count unique orders
sql_query = """"""
SELECT SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalRevenue,
       COUNT(DISTINCT o.OrderID) AS UniqueOrders
FROM orders o
JOIN [Order Details] od ON o.OrderID = od.OrderID
WHERE o.OrderDate BETWEEN '2023-01-01' AND '2023-03-31';
""""""

# Execute SQL Query
df = execute_sql_query(sql_query)

# Ensure there is at least one unique order to avoid division by zero
if df.empty or df['UniqueOrders'][0] == 0:
    aov = 0
else:
    # Calculate Average Order Value
    total_revenue = df['TotalRevenue'][0]
    unique_orders = df['UniqueOrders'][0]
    aov = total_revenue / unique_orders

# Display the result
show_to_user(pd.DataFrame({'AverageOrderValue': [aov]}))
```

This code executes the required SQL query, calculates the average order value, and then displays it to the user.","Both the reference and input implementations compute the Average Order Value (AOV) for Q1 2023 using equivalent logic. They both calculate total revenue as the sum of the product of UnitPrice, Quantity, and the discount adjustment for all order details. They also count the distinct order IDs to determine the number of unique orders. The AOV is then obtained by dividing total revenue by the number of unique orders. The input code adds a conditional check to handle division by zero, which is a reasonable safety measure but does not deviate from the core logic of the reference implementation.",Finetuned
List orders where the shipping cost was above average.,"```python
import pandas as pd

# Execute the SQL query to get the average freight value
avg_freight_query = ""SELECT AVG(Freight) AS average_freight FROM orders""
avg_freight_df = execute_sql_query(avg_freight_query)
average_freight = avg_freight_df.iloc[0]['average_freight']

# Query to get orders where the shipping cost is above average
above_avg_orders_query = f""SELECT * FROM orders WHERE Freight > {average_freight}""
above_avg_orders_df = execute_sql_query(above_avg_orders_query)

# Display the result to the user
show_to_user(above_avg_orders_df)
```","```python
# SQL query to calculate the average shipping cost
average_shipping_cost_query = ""SELECT AVG(Freight) AS avg_freight FROM orders""
average_shipping_cost_df = execute_sql_query(average_shipping_cost_query)
average_shipping_cost = average_shipping_cost_df['avg_freight'].iloc[0]

# SQL query to list orders with above average shipping cost
above_average_orders_query = f""""""
SELECT * 
FROM orders 
WHERE Freight > {average_shipping_cost}
""""""
above_average_orders_df = execute_sql_query(above_average_orders_query)

show_to_user(above_average_orders_df)
```","The input Python code correctly implements the logic specified in the business analytics request. It calculates the average freight using a SQL query, retrieves orders where the freight is greater than the calculated average, and then displays these orders to the user. This matches the reference implementation, albeit with some differences in variable naming and formatting, but the core logic is consistent.","To list orders where the shipping cost is above average using Python and provided SQL execution functionality, here’s how we can approach the problem:

1. First, calculate the average shipping cost using a SQL query.
2. Retrieve the orders with shipping costs above this average cost using another SQL query.
3. Display the result to the user.

Here's the Python code:

```python
import pandas as pd

# SQL query to retrieve orders above average shipping cost
sql_query = """"""
SELECT o.* FROM orders o WHERE o.Freight > (SELECT AVG(Freight) FROM orders);
""""""

# Execute the SQL query
orders_above_average = execute_sql_query(sql_query)

# Display the result to the user
show_to_user(orders_above_average)
```

Make sure the `execute_sql_query` and `show_to_user` functions are defined as per your framework to handle SQL execution and displaying pandas DataFrame results.","The provided code correctly executes a SQL query to list orders where the shipping cost ('Freight') is above the average shipping cost. It uses a subquery to calculate the average and directly compares the 'Freight' against this average, which is equivalent to the reference implementation in logic. While the approach is slightly different in terms of executing a single SQL statement rather than two, the core logic and outcome are consistent with the reference.",both
What is the average freight cost for orders shipped to Europe?,"```python
import pandas as pd

# Define the SQL query
sql_query = """"""
SELECT AVG(Freight) AS AverageFreightCost 
FROM orders 
WHERE ShipCountry IN ('Austria', 'Belgium', 'Denmark', 'Finland', 'France', 'Germany', 'Greece', 'Ireland', 'Italy', 
'Netherlands', 'Norway', 'Poland', 'Portugal', 'Spain', 'Sweden', 'Switzerland', 'United Kingdom')
""""""

# Execute the SQL query and retrieve the data
df = execute_sql_query(sql_query)

# Display the result to the user
show_to_user(df)
```","```python
sql_query = """"""
SELECT AVG(Freight) AS AverageFreightCost
FROM orders
WHERE ShipCountry IN ('Germany', 'France', 'United Kingdom', 'Italy', 'Spain', 'Netherlands', 'Belgium', 'Sweden', 'Austria', 'Denmark', 'Finland', 'Ireland', 'Portugal', 'Greece', 'Poland', 'Czech Republic', 'Hungary', 'Slovakia', 'Romania', 'Bulgaria', 'Croatia', 'Slovenia', 'Lithuania', 'Latvia', 'Estonia', 'Cyprus', 'Malta', 'Luxembourg', 'Slovenia');
""""""

average_freight_cost = execute_sql_query(sql_query)
show_to_user(average_freight_cost)
```","The input code includes additional countries like 'Czech Republic', 'Hungary', 'Slovakia', 'Romania', 'Bulgaria', 'Croatia', 'Slovenia', 'Lithuania', 'Latvia', 'Estonia', 'Cyprus', 'Malta', 'Luxembourg', and duplicates 'Slovenia'. These countries are not part of the reference implementation.","```python
import pandas as pd

# SQL query to get the average freight cost for orders shipped to Europe
sql_query = """"""
SELECT AVG(Freight) AS AverageFreight FROM orders WHERE ShipRegion IN ('Europe', 'EU');
""""""

# Execute SQL query
orders_df = execute_sql_query(sql_query)

# Display result
show_to_user(orders_df)
```","The input code uses an incorrect filter for determining the region. It checks the 'ShipRegion' for 'Europe' or 'EU', which might not correctly map to the European countries of interest. The reference code checks specific 'ShipCountry' values for European countries, ensuring targeted filtering.",None
What is the average salary of employees by title and visualize the distribution?,"```python
import plotly.express as px

# Execute the SQL query to get the average salary by title
sql_query = ""SELECT Title, AVG(Salary) AS AvgSalary FROM employees GROUP BY Title;""
df = execute_sql_query(sql_query)

# Create and show the visualization of the salary distribution by title
fig = px.bar(df, x='Title', y='AvgSalary', title='Average Salary by Title', labels={'AvgSalary':'Average Salary'})
show_to_user(fig)
```","```python
import pandas as pd
import plotly.express as px

# SQL query to calculate average salary by title
sql_query = """"""
SELECT Title, AVG(Salary) AS AverageSalary
FROM employees
GROUP BY Title
""""""
average_salary_df = execute_sql_query(sql_query)

# Visualizing the distribution of average salary by title
fig = px.bar(average_salary_df, x='Title', y='AverageSalary', title='Average Salary of Employees by Title')
show_to_user(fig)
```","The input code correctly adheres to the logic of the reference implementation. It executes a similar SQL query to calculate the average salary by title, retrieves the result into a DataFrame, and uses Plotly Express to create a bar chart visualizing the average salary distribution by title. The differences in column naming ('AverageSalary' vs. 'AvgSalary') do not affect the correctness as they are consistent within their respective contexts.","To calculate the average salary of employees by title and visualize the distribution, you can follow these steps:

1. Execute SQL to fetch the required data from the database.
2. Use Pandas for data manipulation to calculate the average salary by title.
3. Use Plotly for data visualization to show the distribution.

Here’s the Python code to accomplish the task:

```python
import pandas as pd
import plotly.express as px

# SQL query to fetch the required data
sql_query = """"""
SELECT Title, Salary FROM employees;
""""""

# Execute the SQL query and get the data as a pandas dataframe
df = execute_sql_query(sql_query)

# Calculate average salary by title
avg_salary_df = df.groupby('Title)['Salary'].mean().reset_index()
avg_salary_df.columns = ['Title', 'Average_Salary']

# Visualize the distribution of average salary by title
fig = px.bar(avg_salary_df, x='Title', y='Average_Salary', title='Average Salary by Title')

# Show the result to the user
show_to_user(fig)
```

This code snippet queries the direct salary and title data, computes the average salary grouped by title, and visualizes it as a bar chart. The user will see the resultant visualization through the `show_to_user` function.","The provided code correctly calculates the average salary by employee title and visualizes it. It uses a SQL query to retrieve necessary data, employs Pandas for calculating the average, and uses Plotly for creating a bar chart, similar to the logic in the reference implementation.",both
Visualize the total number of orders for each product.,"```python
import plotly.express as px

# Define the SQL query
sql_query = """"""
SELECT p.ProductName, COUNT(od.OrderID) AS OrderCount
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductName;
""""""

# Execute the SQL query
data = execute_sql_query(sql_query)

# Create a bar chart using plotly
fig = px.bar(data, x='ProductName', y='OrderCount', title='Total Number of Orders for Each Product')

# Display the visualization
show_to_user(fig)
```","```python
import pandas as pd
import plotly.express as px

sql_query = """"""
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalOrders
FROM [Order Details] od
JOIN products p ON od.ProductID = p.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY TotalOrders DESC
""""""

data = execute_sql_query(sql_query)

fig = px.bar(data, x='ProductName', y='TotalOrders', title='Total Number of Orders for Each Product', labels={'TotalOrders': 'Total Orders', 'ProductName': 'Product Name'})
show_to_user(fig)
```","The input Python code calculates the total number of units ordered for each product (`SUM(od.Quantity) AS TotalOrders`), not the number of distinct orders. The reference implementation counts the number of order instances for each product (`COUNT(od.OrderID)`). Therefore, the input code does not align with the logic of the reference code as per the business request.","```python
import plotly.express as px

# SQL query to get the required data
sql_query = """"""
SELECT products.ProductID, products.ProductName, count([Order Details].OrderID) AS TotalOrders 
FROM products 
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID 
GROUP BY products.ProductID, products.ProductName;
""""""

# Execute the SQL query and get the data
data = execute_sql_query(sql_query)

# Create a bar chart to visualize the total number of orders for each product
fig = px.bar(data, x='ProductName', y='TotalOrders', title='Total Number of Orders for Each Product')

# Show the plot to the user
show_to_user(fig)
```","The evaluated code correctly implements the business analytics request by selecting the product name and counting the total number of orders per product. The query groups by both ProductID and ProductName, which is logically consistent with the reference implementation as ProductID is unique for each ProductName. The bar chart is created using Plotly Express to visualize the total orders for each product, which satisfies the request.",Finetuned
List the top 5 products with the highest unit price.,"```python
import pandas as pd

# SQL query to get the top 5 products with the highest unit price
sql_query = ""SELECT ProductName, UnitPrice FROM products ORDER BY UnitPrice DESC LIMIT 5;""

# Execute the SQL query
df = execute_sql_query(sql_query)

# Display the result to the user
show_to_user(df)
```","```python
sql_query = """"""
SELECT ProductName, UnitPrice 
FROM products 
ORDER BY UnitPrice DESC 
LIMIT 5
""""""

top_products = execute_sql_query(sql_query)
show_to_user(top_products)
```","The input Python code matches the reference code in logic and functionality. Both codes execute a SQL query to select the top 5 products based on the highest unit price and display the results to the user. The query structure, order, and limit are consistent with the business analytics request.","```python
import pandas as pd

# SQL query to retrieve the top 5 products with the highest unit price
sql_query = ""SELECT ProductName, UnitPrice FROM products ORDER BY UnitPrice DESC LIMIT 5;""

# Execute the SQL query and get the result as a pandas dataframe
top_products_df = execute_sql_query(sql_query)

# Show the result to the user
show_to_user(top_products_df)
```","The input Python code accurately fulfills the business analytics request to list the top 5 products with the highest unit price. It uses the same SQL query to fetch data and presents it to the user in the same way as the reference implementation. Therefore, the code is correct.",both
Visualize the total freight cost for each shipping company in 2023.,"```python
import plotly.express as px

# Define the SQL query
sql_query = """"""
SELECT shippers.CompanyName, SUM(orders.Freight) AS total_freight_cost
FROM orders
JOIN shippers ON orders.ShipVia = shippers.ShipperID
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31'
GROUP BY shippers.CompanyName
""""""

# Execute the SQL query
df = execute_sql_query(sql_query)

# Create a bar plot of total freight cost for each shipping company
fig = px.bar(df, x='CompanyName', y='total_freight_cost', title='Total Freight Cost by Shipping Company in 2023')

# Display the plot to the user
show_to_user(fig)
```","```python
import pandas as pd
import plotly.express as px

sql_query = """"""
SELECT shippers.CompanyName, SUM(orders.Freight) AS total_freight_cost
FROM orders
JOIN shippers ON orders.ShipVia = shippers.ShipperID
WHERE orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31'
GROUP BY shippers.CompanyName
""""""

freight_data = execute_sql_query(sql_query)

fig = px.bar(freight_data, x='CompanyName', y='total_freight_cost', title='Total Freight Cost for Each Shipping Company in 2023')
show_to_user(fig)
```",The provided code correctly implements the business analytics request by using the same SQL logic to retrieve the total freight cost for each shipping company in 2023 and visualizes it using plotly.express. The differences in naming ('freight_data' vs. 'df') do not affect functionality or logic.,"```python
import plotly.express as px

# SQL query to get the freight cost data
sql_query = """"""
SELECT
    shippers.CompanyName,
    SUM(orders.Freight) AS total_freight_cost
FROM
    orders
JOIN
    shippers ON orders.ShipVia = shippers.ShipperID
WHERE
    orders.OrderDate BETWEEN '2023-01-01' AND '2023-12-31'
GROUP BY
    shippers.CompanyName;
""""""

# Execute the query and get the data
data = execute_sql_query(sql_query)

# Create a bar chart for total freight cost per shipping company
fig = px.bar(data, x='CompanyName', y='total_freight_cost', 
             title='Total Freight Cost by Shipping Company in 2023',
             labels={'total_freight_cost': 'Total Freight Cost', 'CompanyName': 'Shipping Company'})

# Show the visualization to the user
show_to_user(fig)
```","The input code correctly follows the logic given in the reference implementation. Both execute the same SQL query to fetch the total freight cost for each shipping company in 2023. They both use Plotly to create a bar chart with the fetched data, displaying 'CompanyName' on the x-axis and 'total_freight_cost' on the y-axis. The input code's use of additional labels in the plot doesn't alter its correctness compared to the reference.",both
What is the percentage of orders that were shipped within 3 days of being placed?,"```python
import pandas as pd

# Define the SQL query to execute
sql_query = """"""
SELECT OrderDate, ShippedDate FROM orders;
""""""

# Execute the SQL query to retrieve data
orders_df = execute_sql_query(sql_query)

# Calculate the number of orders shipped within 3 days
orders_df['DaysToShip'] = (orders_df['ShippedDate'] - orders_df['OrderDate']).dt.days
within_three_days_count = orders_df[orders_df['DaysToShip'] <= 3].shape[0]

# Calculate the total number of orders
total_orders_count = orders_df.shape[0]

# Calculate the percentage
percentage_within_three_days = (within_three_days_count / total_orders_count) * 100

# Prepare the results as a dataframe
result_df = pd.DataFrame({
    ""Percentage of Orders Shipped Within Three Days"": [percentage_within_three_days]
})

# Show the result to the user
show_to_user(result_df)
```","```python
sql_query = """"""
SELECT 
    COUNT(OrderID) AS TotalOrders,
    SUM(CASE WHEN DATEDIFF(ShippedDate, OrderDate) <= 3 THEN 1 ELSE 0 END) AS OrdersShippedWithin3Days
FROM 
    orders
""""""

result_df = execute_sql_query(sql_query)

percentage_shipped_within_3_days = (result_df['OrdersShippedWithin3Days'].iloc[0] / result_df['TotalOrders'].iloc[0]) * 100
percentage_df = pd.DataFrame({'Percentage Shipped Within 3 Days (%)': [percentage_shipped_within_3_days]})

show_to_user(percentage_df)
```","Both the reference and input implementations correctly calculate the percentage of orders shipped within three days of being placed. The input code uses an SQL query to achieve this directly in the database, while the reference code does it in pandas after fetching the data. The logic and final output in both codes are equivalent.","```python
import pandas as pd

# SQL query to get all orders
sql_query_all_orders = """"""
SELECT OrderID, OrderDate, ShippedDate FROM orders;
""""""

# SQL query to get orders shipped within 3 days
sql_query_shipped_within_3_days = """"""
SELECT OrderID FROM orders WHERE DATEDIFF(ShippedDate, OrderDate) <= 3;
""""""

# Execute the SQL query to get all orders data
df_all_orders = execute_sql_query(sql_query_all_orders)

# Execute the SQL query to get orders shipped within 3 days
df_shipped_within_3_days = execute_sql_query(sql_query_shipped_within_3_days)

# Calculate the percentage of orders shipped within 3 days
percentage_shipped_within_3_days = (len(df_shipped_within_3_days) / len(df_all_orders)) * 100

# Create a DataFrame to display the result
result_df = pd.DataFrame({
    'Percentage of Orders Shipped Within 3 Days': [percentage_shipped_within_3_days]
})

# Display the result to the user
show_to_user(result_df)
```","The input implementation retrieves the total number of orders and the number shipped within three days using two separate SQL queries. It calculates the percentage of orders shipped within three days by dividing the number of qualifying orders by the total number of orders, which aligns with the logic of the reference implementation. Both approaches correctly calculate the desired percentage, despite minor differences in methodology.",both
Which products have been ordered with a discount?,"```python
import pandas as pd

# SQL query to find products ordered with a discount
sql_query = """"""
SELECT DISTINCT p.ProductName 
FROM products p 
JOIN [Order Details] od ON p.ProductID = od.ProductID 
WHERE od.Discount > 0;
""""""

# Execute the query
discounted_products_df = execute_sql_query(sql_query)

# Show the result to the user
show_to_user(discounted_products_df)
```","```python
sql_query = """"""
SELECT p.ProductID, p.ProductName, od.Discount
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.Discount > 0
""""""
discounted_products = execute_sql_query(sql_query)
show_to_user(discounted_products)
```","The evaluated code selects additional columns (ProductID and Discount) and does not use DISTINCT to ensure unique product names, unlike the reference code which only selects unique ProductName values.","```python
import pandas as pd

# SQL Query to get products with a discount
sql_query = """"""
SELECT DISTINCT ProductName
FROM [Order Details]
JOIN products ON [Order Details].ProductID = products.ProductID
WHERE [Order Details].Discount > 0;
""""""

# Execute the SQL query
discounted_products_df = execute_sql_query(sql_query)

# Display the result
show_to_user(discounted_products_df)
```","Both the provided and reference implementations perform the same logic by executing SQL queries to find distinct ProductName values from the products ordered with a discount. The structure of the query is equivalent, despite the order of the tables in the JOIN clause being slightly different. Therefore, the input code is correct.",Finetuned
What is the total number of orders shipped via each shipping method per month and illustrate the trend?,"```python
import plotly.express as px
import pandas as pd

sql_query = """"""
SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS Month, ShipVia, COUNT(OrderID) AS OrdersShipped 
FROM orders 
GROUP BY Month, ShipVia;
""""""

# Execute the SQL query
orders_data = execute_sql_query(sql_query)

# Pivot the data to have shipping methods in separate columns
pivoted_data = orders_data.pivot(index='Month', columns='ShipVia', values='OrdersShipped').reset_index()

# Create a line plot
fig = px.line(pivoted_data, x='Month', y=pivoted_data.columns[1:], title='Orders Shipped via Each Method per Month',
              labels={'value': 'Orders Shipped', 'variable': 'Shipping Method'}, markers=True)

# Show the plot to the user
show_to_user(fig)
```","```python
import pandas as pd
import plotly.express as px

sql_query = """"""
SELECT 
    DATE_FORMAT(ShippedDate, '%Y-%m') AS Month,
    ShipVia,
    COUNT(OrderID) AS TotalOrders
FROM 
    orders
WHERE 
    ShippedDate IS NOT NULL
GROUP BY 
    Month, ShipVia
ORDER BY 
    Month, ShipVia
""""""

data = execute_sql_query(sql_query)

fig = px.line(data, x='Month', y='TotalOrders', color='ShipVia', 
              title='Total Number of Orders Shipped via Each Shipping Method per Month',
              labels={""TotalOrders"": ""Total Orders"", ""Month"": ""Month""})
show_to_user(fig)
```",The input Python code evaluates data grouped by 'ShippedDate' which differs from the reference code using 'OrderDate'. This discrepancy means the data captured may not reflect the same time periods or logic intended by the business request.,"To compute the total number of orders shipped via each shipping method per month and visualize the trend, you can utilize the following Python code snippet. This code uses the `pandas` library for data manipulation and `plotly` for visualization:

```python
import pandas as pd
import plotly.express as px

# Define the SQL query
sql_query = """"""
SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month, orders.ShipVia, COUNT(orders.OrderID) AS OrderCount
FROM orders
GROUP BY Month, orders.ShipVia;
""""""

# Execute SQL query
df = execute_sql_query(sql_query)

# Ensure Month is treated as a string for correct sorting
df['Month'] = pd.to_datetime(df['Month'])

# Create the line plot
fig = px.line(df, x='Month', y='OrderCount', color='ShipVia',
              labels={'OrderCount': 'Order Count', 'Month': 'Month', 'ShipVia': 'Shipping Method'},
              title='Total Orders Shipped via Each Shipping Method per Month')

# Show the plot
show_to_user(fig)
```

### Explanation:
1. **SQL Query**: The provided SQL query retrieves the required data by counting `OrderID` for each combination of month and `ShipVia`.
  
2. **DataFrame Manipulation**: The 'Month' column is converted to a datetime type for correct plotting order.

3. **Plotting**: A line plot is created using `plotly.express` with 'Month' on the x-axis, 'OrderCount' on the y-axis, and colors representing different shipping methods.

4. **Display**: The plot is displayed using `show_to_user` which is assumed to be a provided utility function.

Make sure to execute the code within an environment where the required libraries are installed, and `execute_sql_query` and `show_to_user` functions are defined.","Both the reference and input codes achieve the same goal of counting the total number of orders by month and shipping method. The input code converts the 'Month' column to a datetime format which is more robust for plotting, while the reference code pivots the data. Both approaches will produce similar line plots using Plotly Express, showing the trend of orders shipped via each method per month. The labels and titles in both visualizations correctly represent the axes and data, and both codes use 'show_to_user()' to display the plot.",Finetuned
Visualize the total number of products supplied by each supplier.,"```python
import plotly.express as px

# SQL query
sql_query = ""SELECT SupplierID, COUNT(ProductID) AS TotalProducts FROM products GROUP BY SupplierID;""

# Execute SQL query
df = execute_sql_query(sql_query)

# Create a bar chart with plotly
fig = px.bar(df, x='SupplierID', y='TotalProducts', title='Total Products Supplied by Each Supplier')

# Show the visualization to the user
show_to_user(fig)
```","```python
import pandas as pd
import plotly.express as px

sql_query = """"""
SELECT s.CompanyName, COUNT(p.ProductID) AS TotalProducts
FROM suppliers s
JOIN products p ON s.SupplierID = p.SupplierID
GROUP BY s.CompanyName
""""""

data = execute_sql_query(sql_query)
fig = px.bar(data, x='CompanyName', y='TotalProducts', title='Total Number of Products Supplied by Each Supplier')
show_to_user(fig)
```","The input code accurately answers the business analytics request by visualizing the total number of products supplied by each supplier. It uses a JOIN operation to obtain supplier names and counts the products grouped by supplier name, which aligns with the logic of the reference code (grouping by SupplierID and counting products). The visualization of results is correct using Plotly to create a bar chart, as requested.","```python
import plotly.express as px

# SQL Query to execute
sql_query = """"""
SELECT SupplierID, 
       SUM([Order Details].Quantity * [Order Details].UnitPrice) AS TotalRevenue
FROM products
JOIN [Order Details] ON products.ProductID = [Order Details].ProductID
GROUP BY SupplierID
ORDER BY TotalRevenue DESC;
""""""

# Execute SQL query
df = execute_sql_query(sql_query)

# Create bar chart using Plotly
fig = px.bar(df, x='SupplierID', y='TotalRevenue', title='Total Revenue by Supplier')

# Display the result
show_to_user(fig)
```","The input code is calculating and visualizing the 'TotalRevenue' for each supplier by joining the 'products' and 'Order Details' tables, which is not what the business request asked for. The task was to visualize the total number of products supplied by each supplier, which involves counting the number of products per supplier. The reference code does this by executing a query that counts products (using COUNT(ProductID)) and groups by SupplierID.",Base
Which products need to be reordered?,"```python
import pandas as pd

# Define the SQL query
sql_query = ""SELECT ProductName FROM products WHERE UnitsInStock <= ReorderLevel;""

# Execute the SQL query
products_to_reorder_df = execute_sql_query(sql_query)

# Display the products that need to be reordered
show_to_user(products_to_reorder_df)
```","```python
sql_query = """"""
SELECT ProductID, ProductName, UnitsInStock, UnitsOnOrder, ReorderLevel
FROM products
WHERE Discontinued = 0 AND (UnitsInStock + UnitsOnOrder) <= ReorderLevel
""""""
reorder_products = execute_sql_query(sql_query)
show_to_user(reorder_products)
```","The input code checks for an additional condition that considers both 'UnitsInStock' and 'UnitsOnOrder' and filters out discontinued products. The reference logic only checks if 'UnitsInStock' is less than or equal to 'ReorderLevel' without these conditions. Therefore, the logic is different.","To find out which products need to be reordered, we need to query the relevant database table, likely called `products`, to retrieve the `ProductName` and `UnitsInStock` fields. We will identify products where `UnitsInStock` is less than or equal to `ReorderLevel`.

Here's the Python code that achieves this:

```python
import pandas as pd

# Define the SQL query
sql_query = """"""
SELECT ProductID, ProductName 
FROM products 
WHERE UnitsInStock <= ReorderLevel;
""""""

# Execute the SQL query to get the products needing reorder
products_to_reorder_df = execute_sql_query(sql_query)

# Display the DataFrame to the user
show_to_user(products_to_reorder_df)
```

This code snippet executes the SQL query to retrieve the necessary data from the database and then shows the results to the user. The columns in the displayed data frame should include `ProductID` and `ProductName`, making it clear which products need reordering.","The input code retrieves both 'ProductID' and 'ProductName', whereas the reference implementation only retrieves 'ProductName'. The business request asks for products that need to be reordered, just like the reference code. Including 'ProductID' changes the logic by altering the data structure beyond what was asked.",None
Visualize which products have the highest total sales volume in quantity.,"```python
import plotly.express as px

# SQL Query
sql_query = """"""
SELECT p.ProductName, SUM(od.Quantity) AS TotalSalesQuantity 
FROM [Order Details] od 
JOIN products p ON od.ProductID = p.ProductID 
GROUP BY p.ProductName 
ORDER BY TotalSalesQuantity DESC;
""""""

# Execute the query
data = execute_sql_query(sql_query)

# Plot
fig = px.bar(data, x='ProductName', y='TotalSalesQuantity', 
             title='Products with Highest Total Sales Volume in Quantity')

# Show the plot
show_to_user(fig)
```","```python
import pandas as pd
import plotly.express as px

sql_query = """"""
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalSalesVolume
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY TotalSalesVolume DESC
""""""

sales_data = execute_sql_query(sql_query)

fig = px.bar(sales_data, x='ProductName', y='TotalSalesVolume', title='Total Sales Volume by Product', labels={'TotalSalesVolume': 'Total Sales Volume (Quantity)'})
show_to_user(fig)
```","The input Python code correctly visualizes products with the highest total sales volume in quantity. It performs the same SQL query logic by joining 'products' and 'Order Details' tables, grouping by ProductID and ProductName, and ordering by total quantity sold. The resulting plot uses the same fields for visualization and maintains the intent of the reference implementation, despite minor differences in variable names and labels.","```python
import plotly.express as px

# Define SQL query
sql_query = """"""
SELECT p.ProductName, SUM(od.Quantity) AS TotalQuantitySold
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductName
ORDER BY TotalQuantitySold DESC;
""""""

# Execute the SQL query
df_sales_volume = execute_sql_query(sql_query)

# Create a bar chart to visualize the total sales volume in quantity
fig = px.bar(df_sales_volume, x='ProductName', y='TotalQuantitySold',
             title='Total Sales Volume in Quantity by Product',
             labels={'TotalQuantitySold': 'Total Quantity Sold'},
             template='plotly')

# Display the plot
show_to_user(fig)
```","The input Python code correctly implements the requested business analytics task. It constructs a SQL query that selects the product name and sums the quantity from the 'Order Details' table, joining with the products table on 'ProductID'. It groups by 'ProductName' and orders the results by total quantity sold in descending order, matching the reference code logic. The visualization also uses a bar chart to display the total sales volume per product in quantity using Plotly, with an appropriate title. Minor differences in variable names and plot labels do not affect the correctness relative to the reference implementation.",both
