User Question,Ground Truth SQL Query,Generated SQL by Base Model,Explanation by Base Model,Generated SQL by FT Model,Explanation by FT Model,Model that got it right
"Calculate the total sales amount for each product, considering discounts.","SELECT od.ProductID, SUM(od.Quantity * (od.UnitPrice - od.UnitPrice * od.Discount)) AS TotalSales FROM [Order Details] od GROUP BY od.ProductID;","```sql
SELECT 
    p.ProductID,
    p.ProductName,
    SUM(od.Quantity * od.UnitPrice * (1 - od.Discount)) AS TotalSales
FROM 
    products p
JOIN 
    [Order Details] od ON p.ProductID = od.ProductID
GROUP BY 
    p.ProductID, p.ProductName
```","Both queries calculate the total sales amount considering discounts for each product, and the results will be equivalent despite the inclusion of additional details in the generated query.","SELECT od.ProductID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales FROM [Order Details] od GROUP BY od.ProductID;","Both queries calculate total sales by accounting for discounts in equivalent ways, yielding the same results.",both
How many orders have a quantity greater than 10 units in the last year?,SELECT COUNT(DISTINCT orders.OrderID) FROM [Order Details] JOIN orders ON [Order Details].OrderID = orders.OrderID WHERE [Order Details].Quantity > 10 AND YEAR(orders.OrderDate) = YEAR(CURRENT_DATE) - 1,"```sql
SELECT COUNT(*) 
FROM [Order Details] 
WHERE Quantity > 10 
AND OrderID IN (SELECT OrderID FROM orders WHERE OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR));
```","The generated query counts all rows in 'Order Details' with Quantity > 10 for orders in the last year, but may double-count orders. The ground truth counts distinct orders with any item having Quantity > 10 from the previous year.",SELECT COUNT(o.OrderID) FROM orders o JOIN [Order Details] od ON o.OrderID = od.OrderID WHERE od.Quantity > 10 AND o.OrderDate > CURRENT_DATE - INTERVAL '1 year';,"The generated query checks for orders in the last 365 days, whereas the ground truth query checks for orders specifically from the last calendar year.",None
Which product has the highest sales volume?,"SELECT ProductID, SUM([Order Details].Quantity) AS SalesVolume FROM [Order Details] GROUP BY ProductID ORDER BY SalesVolume DESC LIMIT 1;","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalSales
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
ORDER BY TotalSales DESC
LIMIT 1;
```","Both queries correctly calculate the product with the highest sales volume by summing quantities from the 'Order Details' table and ordering by the result. The generated query includes the ProductName, which doesn't affect the result correctness.","SELECT p.ProductName, SUM(od.Quantity) AS SalesVolume FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductName ORDER BY SalesVolume DESC LIMIT 1;","The Generated SQL query returns the product name with the highest sales volume, while the Ground Truth SQL query returns the ProductID. They produce different output formats.",Base
Which suppliers provide products that are currently out of stock?,SELECT DISTINCT SupplierID FROM products WHERE UnitsInStock = 0;,"```sql
SELECT DISTINCT p.SupplierID
FROM products p
WHERE p.UnitsInStock = 0;
```","Both queries select distinct SupplierIDs from the products table where UnitsInStock is zero, achieving the same result.",SELECT DISTINCT SupplierID FROM products WHERE UnitsInStock = 0 AND Discontinued = 0;,"The generated query excludes discontinued products, which may also be out of stock.",Base
Calculate the percentage of discontinued products in the inventory.,SELECT SUM(CASE WHEN Discontinued = 1 THEN 1 ELSE 0 END) / COUNT(ProductID) * 100.0 AS percentage FROM products,"```sql
SELECT (COUNT(*) FILTER (WHERE products.Discontinued = 1) * 100.0 / COUNT(*)) AS discontinued_percentage 
FROM products;
```","Both queries correctly calculate the percentage of discontinued products. The generated query uses FILTER with COUNT, while the ground truth uses a CASE statement. Both approaches yield the same result.",SELECT (CAST(COUNT(*) FILTER(WHERE Discontinued = 1) AS DECIMAL) / COUNT(*) * 100) AS DiscontinuedPercentage FROM products;,"Both queries calculate the percentage of discontinued products by dividing the count of discontinued products by the total count, then multiplying by 100. They use different methods (FILTER vs CASE) but yield the same result.",both
Find the reorder level for the most ordered products.,"SELECT p.ProductName, p.ReorderLevel FROM products p JOIN (SELECT ProductID, SUM(Quantity) AS TotalOrdered FROM [Order Details] GROUP BY ProductID) od ON p.ProductID = od.ProductID ORDER BY TotalOrdered DESC LIMIT 1;","```sql
SELECT p.ProductID, p.ReorderLevel
FROM products p
JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ReorderLevel
ORDER BY SUM(od.Quantity) DESC
LIMIT 1;
```","The generated query returns ProductID and Ground Truth returns ProductName. Also, 'LIMIT 1' is SQL syntax but not entirely valid in ANSI SQL without a FETCH clause.","SELECT products.ProductName, products.ReorderLevel, COUNT(*) AS OrderCount FROM products JOIN [Order Details] ON products.ProductID = [Order Details].ProductID GROUP BY products.ProductName, products.ReorderLevel ORDER BY OrderCount DESC;","The generated query finds the reorder level for all products sorted by the count of orders, while the ground truth query finds the reorder level for the single most ordered product by total quantity.",None
Find low-performing products based on sales and stock levels.,"SELECT p.ProductName, SUM(od.Quantity) AS TotalSales, p.UnitsInStock FROM [Order Details] od JOIN products p ON od.ProductID = p.ProductID GROUP BY p.ProductName, p.UnitsInStock HAVING SUM(od.Quantity) < p.UnitsInStock","```sql
SELECT p.ProductID, p.ProductName, SUM(od.Quantity) AS TotalSales, p.UnitsInStock
FROM products p
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
GROUP BY p.ProductID, p.ProductName
HAVING SUM(od.Quantity) < p.ReorderLevel
ORDER BY TotalSales ASC;
```","The generated query includes 'ProductID' which is not present in the ground truth query. The ground truth compares 'SUM(od.Quantity)' with 'p.UnitsInStock', whereas the generated query compares with 'p.ReorderLevel'.","SELECT p.ProductID, ProductName, UnitsInStock, SUM(od.Quantity) as TotalSales FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID GROUP BY p.ProductID, p.ProductName HAVING SUM(od.Quantity) < 50 AND UnitsInStock < 20;","The generated query and the ground truth query have different conditions for identifying low-performing products. The generated query filters products with TotalSales < 50 and UnitsInStock < 20, whereas the ground truth filters products with TotalSales < UnitsInStock.",None
Are there any products that have never been ordered?,SELECT ProductID FROM products WHERE ProductID NOT IN (SELECT DISTINCT ProductID FROM [Order Details]);,"```sql
SELECT p.ProductID, p.ProductName
FROM products p
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
WHERE od.ProductID IS NULL;
```",Both queries correctly identify products that have never been ordered by checking for ProductIDs in 'products' that do not appear in 'Order Details'. The methods differ but yield the same results.,SELECT p.ProductName FROM products p WHERE NOT EXISTS (SELECT 1 FROM [Order Details] od WHERE p.ProductID = od.ProductID);,"Both queries effectively identify products that have never been ordered. The generated query uses NOT EXISTS to check for the absence of any matching rows in the subquery, whereas the ground truth query employs a NOT IN clause with DISTINCT. Both approaches yield the same result.",both
Find suppliers who have not shipped any orders in the past year.,"SELECT s.SupplierID, s.CompanyName FROM suppliers s LEFT JOIN products p ON s.SupplierID = p.SupplierID LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID LEFT JOIN orders o ON od.OrderID = o.OrderID WHERE o.ShippedDate IS NULL OR o.ShippedDate < DATE_SUB(CURDATE(), INTERVAL 1 YEAR) GROUP BY s.SupplierID, s.CompanyName HAVING COUNT(o.OrderID) = 0;","```sql
SELECT s.*
FROM suppliers s
LEFT JOIN products p ON s.SupplierID = p.SupplierID
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
LEFT JOIN orders o ON od.OrderID = o.OrderID AND o.ShippedDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)
WHERE o.OrderID IS NULL;
```","Both queries aim to find suppliers who have not shipped any orders in the past year. The generated query uses a LEFT JOIN with a condition that results in nulls for suppliers without shipments in the specified time, while the ground truth uses HAVING with a GROUP BY. Both effectively filter out suppliers with shipments in the past year.","SELECT suppliers.SupplierID, suppliers.CompanyName FROM suppliers WHERE suppliers.SupplierID NOT IN (SELECT DISTINCT products.SupplierID FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID JOIN products ON [Order Details].ProductID = products.ProductID WHERE orders.OrderDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR));","The generated query checks for suppliers with no orders in the past year, while the ground truth checks for suppliers with no shipped orders in the past year and includes handling for null ShippedDate values.",Base
Calculate the correlation between order fulfillment time and freight cost.,"SELECT CORR(DATEDIFF(ShippedDate, OrderDate), Freight) AS Correlation FROM orders;","```sql
SELECT CORR(DATEDIFF(orders.ShippedDate, orders.OrderDate), orders.Freight) AS correlation
FROM orders
WHERE orders.ShippedDate IS NOT NULL AND orders.OrderDate IS NOT NULL;
```","Both queries calculate the correlation between order fulfillment time and freight cost, considering only non-null dates, which aligns with the intent.","SELECT CORR(DATEDIFF(ShippedDate, OrderDate), Freight) AS Correlation FROM orders;","The generated SQL query and the ground truth SQL query are identical, indicating they would yield the same results and accurately answer the user's question.",both
Which suppliers have not been used in any orders in the past year?,"SELECT SupplierID, CompanyName FROM suppliers WHERE SupplierID NOT IN (SELECT products.SupplierID FROM orders JOIN [Order Details] ON orders.OrderID = [Order Details].OrderID JOIN products ON [Order Details].ProductID = products.ProductID WHERE orders.OrderDate > CURRENT_DATE - INTERVAL '1 YEAR');","```sql
SELECT s.SupplierID, s.CompanyName
FROM suppliers s
LEFT JOIN products p ON s.SupplierID = p.SupplierID
LEFT JOIN [Order Details] od ON p.ProductID = od.ProductID
LEFT JOIN orders o ON od.OrderID = o.OrderID AND o.OrderDate >= DATE_SUB(CURDATE(), INTERVAL 1 YEAR)
WHERE o.OrderID IS NULL;
```","Both queries select suppliers who have not been associated with any orders in the past year. The first query uses LEFT JOIN with a NULL check, while the second uses a NOT IN subquery, but they achieve the same result.","SELECT s.SupplierID FROM suppliers s WHERE NOT EXISTS (SELECT 1 FROM products p JOIN [Order Details] od ON p.ProductID = od.ProductID JOIN orders o ON o.OrderID = od.OrderID WHERE p.SupplierID = s.SupplierID AND o.OrderDate >= DATE_SUB(CURRENT_DATE, INTERVAL 1 YEAR));","The generated query uses a subquery with 'NOT EXISTS' and DATE_SUB, which may not be supported in standard SQL. The ground truth uses 'NOT IN' with date subtraction using standard syntax.",Base
What is the total number of orders placed by each customer?,"SELECT orders.CustomerID, COUNT(*) AS TotalOrders FROM orders GROUP BY orders.CustomerID;","```sql
SELECT CustomerID, COUNT(OrderID) AS TotalOrders
FROM orders
GROUP BY CustomerID;
```",Both queries count the number of orders for each customer by using GROUP BY on CustomerID. The difference in the COUNT function argument does not affect the outcome.,"SELECT CustomerID, COUNT(OrderID) AS TotalOrders FROM orders GROUP BY CustomerID;","Both queries group the orders by CustomerID and count the number of orders, resulting in the same output.",both
What is the most frequently ordered product?,"SELECT ProductID, COUNT(*) AS OrderCount FROM [Order Details] GROUP BY ProductID ORDER BY OrderCount DESC LIMIT 1;","```sql
SELECT OrderDetails.ProductID, SUM(OrderDetails.Quantity) AS TotalQuantity
FROM [Order Details] AS OrderDetails
GROUP BY OrderDetails.ProductID
ORDER BY TotalQuantity DESC
LIMIT 1;
```","The generated query sums the quantities ordered, while the ground truth counts the number of orders. The former identifies the product ordered in largest quantity, the latter the most frequently ordered product.","SELECT od.ProductID, COUNT(*) AS Frequency FROM [Order Details] od GROUP BY od.ProductID ORDER BY Frequency DESC LIMIT 1;","Both queries group by ProductID and order by the count in descending order, limiting the result to the top entry, thus answering the question correctly.",FT
Which customer has the highest total order value?,"SELECT c.CustomerID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalOrderValue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID ORDER BY TotalOrderValue DESC LIMIT 1;","```sql
SELECT c.CustomerID, c.CompanyName, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalOrderValue
FROM customers c
JOIN orders o ON c.CustomerID = o.CustomerID
JOIN [Order Details] od ON o.OrderID = od.OrderID
GROUP BY c.CustomerID, c.CompanyName
ORDER BY TotalOrderValue DESC
LIMIT 1;
```","Both queries calculate the total order value for each customer and return the customer with the highest value. The generated query includes the CompanyName in the output, but this does not affect the primary result of finding the highest total order value.","SELECT c.CustomerID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalValue FROM customers c JOIN orders o ON c.CustomerID = o.CustomerID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY c.CustomerID ORDER BY TotalValue DESC LIMIT 1;","Both queries calculate the total order value per customer and return the customer with the highest total. The only difference is the alias used for the aggregated column, which does not affect the result.",both
What is the average fulfillment time for orders each month?,"SELECT DATE_TRUNC('month', OrderDate) AS Month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS AverageFulfillmentTime FROM orders GROUP BY DATE_TRUNC('month', OrderDate);","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    AVG(DATEDIFF(ShippedDate, OrderDate)) AS Average_Fulfillment_Time
FROM 
    orders
GROUP BY 
    Month
```","The DATE_FORMAT function uses '%Y-%m', which may not be compatible with all SQL databases. The DATE_TRUNC function is more universally standard for truncating dates to months.","SELECT DATE_FORMAT(OrderDate, '%Y-%m') AS month, AVG(DATEDIFF(ShippedDate, OrderDate)) AS avg_fulfillment_time FROM orders GROUP BY DATE_FORMAT(OrderDate, '%Y-%m');","Both queries calculate the average fulfillment time by month, using different date functions suitable to MySQL and SQL standard for truncating dates.",FT
Which product category has the highest average unit price?,"SELECT categories.CategoryName, AVG(products.UnitPrice) AS avg_unit_price FROM products JOIN categories ON products.CategoryID = categories.CategoryID GROUP BY categories.CategoryName ORDER BY avg_unit_price DESC LIMIT 1","```sql
SELECT categories.CategoryName, AVG(products.UnitPrice) AS average_unit_price 
FROM products 
JOIN categories ON products.CategoryID = categories.CategoryID 
GROUP BY categories.CategoryName 
ORDER BY average_unit_price DESC 
LIMIT 1;
```","Both queries retrieve the category with the highest average unit price, using a JOIN, GROUP BY, ORDER BY, and LIMIT to achieve this. The differences in alias naming do not affect the results.","SELECT p.CategoryID, AVG(p.UnitPrice) AS AvgUnitPrice FROM products p GROUP BY p.CategoryID ORDER BY AvgUnitPrice DESC LIMIT 1;","The generated query selects CategoryID instead of CategoryName, which does not directly answer the user's question about product categories.",Base
Identify any outliers in employee sales performance.,"SELECT e.EmployeeID, TotalSales FROM (SELECT e.EmployeeID, SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales, AVG(SUM(od.UnitPrice * od.Quantity * (1 - od.Discount))) OVER () AS AverageSales, STDDEV_SAMP(SUM(od.UnitPrice * od.Quantity * (1 - od.Discount))) OVER () AS SalesSTD FROM employees e JOIN orders o ON e.EmployeeID = o.EmployeeID JOIN [Order Details] od ON o.OrderID = od.OrderID GROUP BY e.EmployeeID) AS SalesSummary WHERE ABS(TotalSales - AverageSales) > 2 * SalesSTD;","```sql
WITH EmployeeSales AS (
    SELECT 
        e.EmployeeID,
        e.FirstName,
        e.LastName,
        SUM(od.UnitPrice * od.Quantity * (1 - od.Discount)) AS TotalSales
    FROM 
        employees e
    LEFT JOIN 
        orders o ON e.EmployeeID = o.EmployeeID
    LEFT JOIN 
        [Order Details] od ON o.OrderID = od.OrderID
    GROUP BY 
        e.EmployeeID, e.FirstName, e.LastName
),
SalesStats AS (
    SELECT 
        AVG(TotalSales) AS AvgSales,
        STDDEV(TotalSales) AS StdDevSales
    FROM 
        EmployeeSales
)
SELECT 
    es.EmployeeID,
    es.FirstName,
    es.LastName,
    es.TotalSales
FROM 
    EmployeeSales es, SalesStats ss
WHERE 
    es.TotalSales > ss.AvgSales + 2 * ss.StdDevSales 
    OR es.TotalSales < ss.AvgSales - 2 * ss.StdDevSales;
```",Both queries calculate total sales per employee and detect outliers where sales deviate more than two standard deviations from the average. Differences in structure and function usage do not affect the outcome.,"SELECT EmployeeID, SUM(TotalDue) AS total_sales FROM orders WHERE EmployeeID IS NOT NULL GROUP BY EmployeeID HAVING SUM(TotalDue) < (SELECT AVG(TotalSales) - 2 * STDEV(TotalSales) FROM (SELECT SUM(TotalDue) AS TotalSales FROM orders WHERE EmployeeID IS NOT NULL GROUP BY EmployeeID) subquery) OR SUM(TotalDue) > (SELECT AVG(TotalSales) + 2 * STDEV(TotalSales) FROM (SELECT SUM(TotalDue) AS TotalSales FROM orders WHERE EmployeeID IS NOT NULL GROUP BY EmployeeID) subquery);","The generated query calculates outliers using basic aggregation without considering the 'Order Details' table, while the ground truth query uses detailed calculations including discount and joins, leading to potentially different results.",Base
How many orders were delivered on time each month?,"SELECT DATE_FORMAT(orders.OrderDate, '%Y-%m') AS Month, COUNT(*) AS OnTimeOrders FROM orders WHERE orders.ShippedDate <= orders.RequiredDate GROUP BY DATE_FORMAT(orders.OrderDate, '%Y-%m')","```sql
SELECT 
    DATE_FORMAT(OrderDate, '%Y-%m') AS Month,
    COUNT(OrderID) AS OnTimeDeliveries
FROM 
    orders
WHERE 
    ShippedDate <= RequiredDate
GROUP BY 
    DATE_FORMAT(OrderDate, '%Y-%m')
```","Both queries calculate the number of on-time deliveries per month by checking if the ShippedDate is less than or equal to the RequiredDate, and group the results by year and month based on the OrderDate. They will yield the same results.","SELECT DATE_FORMAT(o.ShippedDate, '%Y-%m') AS Month, COUNT(ORDER_ID) AS OnTimeDeliveries FROM orders o WHERE o.ShippedDate <= o.RequiredDate GROUP BY DATE_FORMAT(o.ShippedDate, '%Y-%m');","The generated query groups by ShippedDate, while the ground truth groups by OrderDate. This could yield different monthly counts if ShippedDate and OrderDate fall in different months.",Base
Which employee has processed the maximum number of orders?,"SELECT employees.EmployeeID, COUNT(orders.OrderID) AS OrderCount FROM employees JOIN orders ON employees.EmployeeID = orders.EmployeeID GROUP BY employees.EmployeeID ORDER BY OrderCount DESC LIMIT 1;","```sql
SELECT EmployeeID, COUNT(OrderID) AS OrderCount
FROM orders
GROUP BY EmployeeID
ORDER BY OrderCount DESC
LIMIT 1;
```","The generated query does not join with the employees table, which may lead to incorrect results if 'orders' has EmployeeIDs not existing in 'employees'.","SELECT EmployeeID, COUNT(OrderID) AS TotalOrders FROM orders GROUP BY EmployeeID ORDER BY TotalOrders DESC LIMIT 1;","Both queries aim to find the employee who has processed the maximum number of orders. The generated query assumes EmployeeID exists in the orders table and correctly groups and counts orders by EmployeeID. The ground truth query joins with the employees table, but since both target the same result, they yield the same outcome.",FT
